PRODUCTO|PRECIO_BASE|PROMOCION_10%|TOTAL_PROMOCION_10%|MEMBRESIA_5%|TOTAL_MEMBRESIA_5%
Televisor|915206|91520|823685|45760|869445
Lavadora|2418401|241840|2176560|120920|2297480
Refrigerador|2258875|225887|2032987|112943|2145931
Microondas|1453734|145373|1308360|72686|1381047
Computadora|1991438|199143|1792294|99571|1891866
Celular|986979|98697|888281|49348|937630
Impresora|1373410|137341|1236069|68670|1304739
Cafetera|1211154|121115|1090038|60557|1150596
Licuadora|1195615|119561|1076053|59780|1135834
Ventilador|600023|60002|540020|30001|570021
